"","x"
"1","the_food"
"2","we_were"
"3","food_was"
"4","the_manager"
"5","was_not"
"6","we_had"
"7","the_service"
"8","when_we"
"9","the_worst"
"10","i_don't"
"11","but_the"
"12","but_i"
"13","did_not"
"14","service_was"
"15","and_we"
"16","we_ordered"
"17","our_food"
"18","asked_for"
"19","the_same"
"20","i_asked"
"21","will_not"
"22","i_could"
"23","to_eat"
"24","the_waitress"
"25","want_to"
"26","back_to"
"27","the_table"
"28","to_say"
"29","is_not"
"30","so_we"
"31","the_bar"
"32","to_make"
"33","the_server"
"34","decided_to"
"35","i_didn't"
"36","wanted_to"
"37","go_back"
"38","at_least"
"39","that_we"
"40","the_first"
"41","time_i"
"42","my_husband"
"43","to_take"
"44","came_out"
"45","we_got"
"46","not_a"
"47","but_it"
"48","and_not"
"49","to_come"
"50","i_think"
"51","was_good"
"52","a_bit"
"53","good_but"
"54","a_lot"
"55","the_chicken"
"56","the_price"
"57","but_not"
"58","kind_of"
"59","was_pretty"
"60","like_a"
"61","lot_of"
"62","like_the"
"63","our_server"
"64","not_the"
"65","it_wasn't"
"66","place_was"
"67","was_really"
"68","my_friend"
"69","pretty_good"
"70","good_and"
