"","x"
"1","this_place"
"2","the_food"
"3","we_were"
"4","food_was"
"5","the_manager"
"6","was_not"
"7","we_had"
"8","the_service"
"9","when_we"
"10","the_worst"
"11","i_don't"
"12","but_the"
"13","but_i"
"14","did_not"
"15","service_was"
"16","and_we"
"17","the_place"
"18","we_ordered"
"19","our_food"
"20","asked_for"
"21","the_same"
"22","i_asked"
"23","will_not"
"24","i_could"
"25","will_never"
"26","food_and"
"27","food_is"
"28","to_eat"
"29","the_waitress"
"30","customer_service"
"31","want_to"
"32","back_to"
"33","place_is"
"34","the_table"
"35","to_say"
"36","is_not"
"37","so_we"
"38","the_bar"
"39","the_menu"
"40","do_not"
"41","to_make"
"42","the_server"
"43","an_hour"
"44","decided_to"
"45","i_didn't"
"46","wanted_to"
"47","go_back"
"48","at_least"
"49","that_we"
"50","the_first"
"51","time_i"
"52","not_be"
"53","my_husband"
"54","a_good"
"55","this_location"
"56","to_take"
"57","to_try"
"58","came_out"
"59","and_then"
"60","the_waiter"
"61","our_order"
"62","we_got"
"63","and_she"
"64","to_wait"
"65","to_give"
"66","my_food"
"67","no_one"
"68","not_a"
"69","but_it"
"70","she_was"
"71","back_and"
"72","first_time"
"73","for_our"
"74","our_table"
"75","the_kitchen"
"76","he_was"
"77","not_even"
"78","a_little"
"79","it_took"
"80","be_back"
"81","should_have"
"82","service_is"
"83","and_not"
"84","to_come"
"85","to_ask"
"86","to_see"
"87","used_to"
"88","we_went"
"89","of_our"
"90","the_bill"
"91","tried_to"
"92","the_way"
"93","my_wife"
"94","10_minutes"
"95","i_think"
"96","the_owner"
"97","and_he"
"98","our_server"
"99","was_good"
"100","a_lot"
"101","the_time"
"102","my_friend"
"103","come_back"
"104","the_staff"
"105","we_asked"
"106","would_not"
"107","don't_know"
"108","like_a"
"109","we_waited"
"110","place_was"
"111","the_best"
"112","as_well"
"113","the_chicken"
"114","trying_to"
"115","service_and"
"116","the_pizza"
"117","and_said"
"118","i_wanted"
"119","20_minutes"
"120","we_will"
"121","if_we"
"122","i_told"
"123","minutes_to"
"124","didn't_even"
"125","i_know"
"126","told_me"
"127","he_said"
"128","tasted_like"
"129","i_called"
"130","we_have"
"131","to_pay"
"132","you_want"
"133","good_but"
"134","the_last"
"135","were_not"
"136","15_minutes"
"137","she_said"
"138","to_leave"
"139","a_table"
"140","going_back"
"141","not_worth"
"142","food_i"
"143","not_the"
"144","it_wasn't"
"145","to_our"
"146","asked_if"
"147","i_thought"
"148","ever_had"
"149","i_did"
"150","like_it"
"151","never_go"
"152","the_hostess"
"153","kind_of"
"154","came_to"
"155","need_to"
"156","was_told"
"157","ask_for"
"158","ended_up"
"159","have_ever"
"160","30_minutes"
"161","a_bit"
"162","a_couple"
"163","to_find"
"164","minutes_later"
"165","they_don't"
"166","and_asked"
"167","as_we"
"168","should_be"
"169","instead_of"
"170","with_no"
"171","came_back"
"172","the_price"
"173","but_this"
"174","the_meal"
"175","but_not"
"176","over_the"
"177","we_are"
"178","a_long"
"179","but_they"
"180","we_wanted"
"181","i_guess"
"182","the_phone"
"183","not_to"
"184","a_bad"
"185","told_us"
"186","and_no"
"187","like_the"
"188","had_no"
"189","place_to"
"190","was_no"
"191","i_said"
"192","the_whole"
"193","we_didn't"
"194","a_great"
"195","i've_ever"
"196","know_what"
"197","minutes_for"
"198","time_and"
"199","was_cold"
"200","the_counter"
"201","the_door"
"202","waiting_for"
"203","the_rest"
"204","i'm_not"
"205","but_we"
"206","time_we"
"207","they_didn't"
"208","even_though"
"209","our_waitress"
"210","front_of"
"211","lot_of"
"212","next_to"
"213","on_top"
"214","the_wait"
"215","of_food"
"216","rude_and"
"217","this_time"
"218","so_much"
"219","in_front"
"220","came_in"
"221","one_star"
"222","the_fact"
"223","i_came"
"224","table_and"
"225","could_have"
"226","not_good"
"227","piece_of"
"228","here_again"
"229","let_me"
"230","i_tried"
"231","we_would"
"232","we_could"
"233","not_sure"
"234","the_next"
"235","the_quality"
"236","them_to"
"237","and_left"
"238","came_here"
"239","cold_and"
"240","food_the"
"241","for_dinner"
"242","it_back"
"243","walked_in"
"244","coming_back"
"245","last_time"
"246","my_friends"
"247","they_said"
"248","your_money"
"249","a_new"
"250","after_we"
"251","like_they"
"252","said_they"
"253","come_here"
"254","i_can't"
"255","time_to"
"256","able_to"
"257","i_love"
"258","we_decided"
"259","eat_here"
"260","place_i"
"261","supposed_to"
"262","told_her"
"263","very_disappointed"
"264","we_left"
"265","our_drinks"
"266","the_salad"
"267","be_returning"
"268","wait_for"
"269","a_small"
"270","told_the"
"271","was_really"
"272","i_should"
"273","my_family"
"274","the_entire"
"275","worth_the"
"276","of_them"
"277","was_horrible"
"278","after_i"
"279","i_really"
"280","the_bartender"
"281","their_food"
"282","to_call"
"283","to_tell"
"284","was_terrible"
"285","it's_not"
"286","last_night"
"287","long_time"
"288","looked_like"
"289","part_of"
"290","the_front"
"291","could_not"
"292","5_minutes"
"293","at_best"
"294","didn't_have"
"295","much_better"
"296","not_recommend"
"297","the_guy"
"298","asked_to"
"299","get_our"
"300","in_vegas"
"301","the_cashier"
"302","to_check"
"303","way_to"
"304","due_to"
"305","rest_of"
"306","like_this"
"307","the_end"
"308","the_street"
"309","top_of"
"310","it_came"
"311","service_i"
"312","we_sat"
"313","were_seated"
"314","you_don't"
"315","fact_that"
"316","after_the"
"317","in_line"
"318","because_we"
"319","for_lunch"
"320","i_decided"
"321","pay_for"
"322","sat_down"
"323","the_customer"
"324","what_we"
"325","45_minutes"
"326","a_big"
"327","chicken_and"
"328","dry_and"
"329","like_i"
"330","make_a"
"331","not_only"
"332","side_of"
"333","the_meat"
"334","was_ok"
"335","my_meal"
"336","not_have"
"337","take_out"
"338","the_back"
"339","a_place"
"340","enough_to"
"341","my_first"
"342","the_wrong"
"343","are_not"
"344","recommend_this"
"345","don't_have"
"346","have_never"
"347","horrible_service"
"348","a_large"
"349","drinks_and"
"350","drive_thru"
"351","give_it"
"352","minutes_and"
"353","my_boyfriend"
"354","on_our"
"355","over_priced"
"356","that_she"
"357","then_the"
"358","were_told"
"359","didn't_want"
"360","less_than"
"361","never_again"
"362","server_was"
"363","so_many"
"364","waste_your"
"365","i_felt"
"366","make_it"
"367","quality_of"
"368","was_pretty"
"369","away_from"
"370","happy_hour"
"371","hour_and"
"372","next_time"
"373","said_that"
"374","the_side"
"375","they_did"
"376","to_bring"
"377","a_drink"
"378","after_a"
"379","minutes_after"
"380","that_he"
"381","very_good"
"382","and_didn't"
"383","give_this"
"384","take_our"
"385","was_still"
"386","a_nice"
"387","and_told"
"388","behind_the"
"389","food_but"
"390","i_left"
"391","in_our"
"392","pizza_and"
"393","the_check"
"394","the_fries"
"395","i_saw"
"396","looking_for"
"397","not_go"
"398","our_waiter"
"399","said_it"
"400","the_chef"
"401","waited_for"
"402","asked_the"
"403","chicken_was"
"404","food_poisoning"
"405","gave_me"
"406","over_cooked"
"407","to_sit"
"408","we_came"
"409","good_the"
"410","the_drive"
"411","the_girl"
"412","waitress_was"
"413","with_our"
"414","have_no"
"415","she_didn't"
"416","since_we"
"417","the_servers"
"418","took_a"
"419","a_manager"
"420","fries_were"
"421","money_and"
"422","place_and"
"423","say_that"
"424","the_bread"
"425","the_sushi"
"426","to_serve"
"427","try_to"
"428","was_extremely"
"429","close_to"
"430","come_to"
"431","definitely_not"
"432","i_want"
"433","needless_to"
"434","party_of"
"435","pieces_of"
"436","the_lady"
"437","the_second"
"438","then_i"
"439","this_review"
"440","a_server"
"441","around_the"
"442","came_with"
"443","know_that"
"444","somewhere_else"
"445","there_again"
"446","too_much"
"447","you_know"
"448","bland_and"
"449","food_we"
"450","group_of"
"451","know_how"
"452","lack_of"
"453","over_to"
"454","seemed_to"
"455","since_i"
"456","the_sauce"
"457","across_the"
"458","and_waited"
"459","couple_of"
"460","i_never"
"461","like_to"
"462","my_money"
"463","only_thing"
"464","our_meal"
"465","pick_up"
"466","place_for"
"467","terrible_service"
"468","we_arrived"
"469","we_did"
"470","amount_of"
"471","i_found"
"472","she_had"
"473","times_and"
"474","to_put"
"475","told_that"
"476","took_our"
"477","and_never"
"478","does_not"
"479","don't_think"
"480","every_time"
"481","gave_us"
"482","husband_and"
"483","was_great"
"484","we_finally"
"485","we_just"
"486","any_of"
"487","hard_to"
"488","no_flavor"
"489","proceeded_to"
"490","the_rice"
"491","we_walked"
"492","1_star"
"493","got_our"
"494","is_good"
"495","menu_and"
"496","my_life"
"497","needs_to"
"498","seem_to"
"499","us_we"
"500","while_we"
"501","a_side"
"502","and_food"
"503","but_no"
"504","don't_waste"
"505","food_to"
"506","give_me"
"507","now_i"
"508","the_day"
"509","this_point"
"510","took_the"
"511","a_half"
"512","and_service"
"513","be_seated"
"514","he_had"
"515","i_walked"
"516","so_bad"
"517","the_area"
"518","was_bland"
"519","but_that"
"520","eat_at"
"521","experience_i"
"522","i_paid"
"523","make_sure"
"524","the_fish"
"525","to_speak"
"526","was_awful"
"527","a_better"
"528","again_i"
"529","i_waited"
"530","it_tasted"
"531","meal_and"
"532","pizza_was"
"533","told_him"
"534","took_my"
"535","was_dry"
"536","was_like"
"537","he_didn't"
"538","is_no"
"539","our_bill"
"540","over_and"
"541","poor_service"
"542","stay_away"
"543","wait_staff"
"544","could_give"
"545","everything_was"
"546","i_ate"
"547","i_gave"
"548","is_horrible"
"549","manager_and"
"550","not_very"
"551","paid_for"
"552","the_plate"
"553","wife_and"
"554","your_time"
"555","a_different"
"556","before_we"
"557","eat_it"
"558","end_of"
"559","food_in"
"560","i_wish"
"561","las_vegas"
"562","place_has"
"563","thank_you"
"564","this_establishment"
"565","time_the"
"566","walked_out"
"567","we_told"
"568","who_was"
"569","a_customer"
"570","better_than"
"571","feel_like"
"572","felt_like"
"573","minutes_before"
"574","speak_to"
"575","the_drinks"
"576","the_night"
"577","was_rude"
"578","when_she"
"579","food_at"
"580","i_took"
"581","i_understand"
"582","never_been"
"583","people_who"
"584","say_i"
"585","they_could"
"586","to_start"
"587","was_okay"
"588","would_never"
"589","2_hours"
"590","came_over"
"591","didn't_get"
"592","finally_got"
"593","fried_rice"
"594","good_and"
"595","i_hope"
"596","it_but"
"597","tell_me"
"598","the_employees"
"599","based_on"
"600","for_them"
"601","give_a"
"602","looked_at"
"603","meal_was"
"604","my_experience"
"605","said_he"
"606","second_time"
"607","the_soup"
"608","after_waiting"
"609","all_over"
"610","give_them"
"611","said_i"
"612","see_the"
"613","the_past"
"614","to_use"
"615","waste_of"
"616","way_too"
"617","we_all"
"618","we_should"
"619","am_not"
"620","chinese_food"
"621","for_food"
"622","i_mean"
"623","made_me"
"624","of_course"
"625","showed_up"
"626","the_middle"
"627","the_tables"
"628","went_back"
"629","worst_service"
"630","don't_even"
"631","excited_to"
"632","never_come"
"633","night_and"
"634","not_that"
"635","sauce_and"
"636","say_the"
"637","take_a"
"638","the_burger"
"639","the_cheese"
"640","the_dish"
"641","the_new"
"642","to_anyone"
"643","to_let"
"644","we_tried"
"645","a_friend"
"646","a_joke"
"647","a_reservation"
"648","again_and"
"649","back_i"
"650","bad_service"
"651","but_when"
"652","i_noticed"
"653","i_used"
"654","manager_was"
"655","not_so"
"656","place_the"
"657","the_person"
"658","the_store"
"659","type_of"
"660","you_should"
"661","back_the"
