"","x"
"1","we_were"
"2","food_was"
"3","was_not"
"4","but_the"
"5","when_we"
"6","but_i"
"7","i_don't"
"8","i_could"
"9","did_not"
"10","we_ordered"
"11","back_to"
"12","the_same"
"13","so_we"
"14","is_not"
"15","the_table"
"16","to_say"
"17","wanted_to"
"18","at_least"
"19","we_got"
"20","i_didn't"
"21","and_not"
"22","a_good"
"23","but_it"
"24","i_think"
"25","not_a"
"26","place_was"
"27","a_little"
"28","a_lot"
"29","was_good"
"30","good_but"
"31","a_bit"
"32","the_best"
"33","the_price"
"34","but_not"
"35","like_a"
"36","not_the"
"37","was_pretty"
"38","kind_of"
"39","lot_of"
"40","like_the"
"41","was_really"
"42","a_great"
"43","very_good"
"44","good_and"
"45","pretty_good"
"46","as_well"
"47","place_to"
"48","a_nice"
"49","was_great"
"50","i_really"
"51","i_love"
"52","really_good"
"53","friendly_and"
