"","x"
"1","this_place"
"2","the_food"
"3","we_were"
"4","food_was"
"5","the_service"
"6","was_not"
"7","the_worst"
"8","we_had"
"9","but_the"
"10","when_we"
"11","service_was"
"12","the_manager"
"13","but_i"
"14","i_don't"
"15","will_not"
"16","to_eat"
"17","i_could"
"18","the_place"
"19","did_not"
"20","food_is"
"21","food_and"
"22","will_never"
"23","we_ordered"
"24","and_we"
"25","back_to"
"26","place_is"
"27","the_same"
"28","want_to"
"29","i_asked"
"30","asked_for"
"31","customer_service"
"32","our_food"
"33","the_menu"
"34","so_we"
"35","is_not"
"36","go_back"
"37","do_not"
"38","the_table"
"39","to_say"
"40","wanted_to"
"41","not_be"
"42","the_waitress"
"43","time_i"
"44","to_make"
"45","decided_to"
"46","at_least"
"47","an_hour"
"48","the_first"
"49","we_got"
"50","that_we"
"51","i_didn't"
"52","and_not"
"53","the_server"
"54","a_good"
"55","and_then"
"56","but_it"
"57","i_think"
"58","be_back"
"59","to_try"
"60","came_out"
"61","the_bar"
"62","to_wait"
"63","service_is"
"64","to_come"
"65","to_take"
"66","no_one"
"67","and_she"
"68","not_a"
"69","to_ask"
"70","not_even"
"71","she_was"
"72","it_took"
"73","first_time"
"74","place_was"
"75","come_back"
"76","to_give"
"77","a_little"
"78","he_was"
"79","the_staff"
"80","should_have"
"81","my_food"
"82","a_lot"
"83","and_he"
"84","my_husband"
"85","to_see"
"86","for_our"
"87","back_and"
"88","the_time"
"89","our_order"
"90","the_kitchen"
"91","our_table"
"92","the_last"
"93","was_good"
"94","service_and"
"95","the_way"
"96","used_to"
"97","of_our"
"98","would_not"
"99","like_a"
"100","if_we"
"101","the_bill"
"102","the_chicken"
"103","as_well"
"104","ever_had"
"105","the_best"
"106","the_waiter"
"107","we_asked"
"108","like_it"
"109","i_know"
"110","tasted_like"
"111","we_went"
"112","10_minutes"
"113","20_minutes"
"114","food_i"
"115","have_ever"
"116","this_location"
"117","i_wanted"
"118","to_pay"
"119","a_table"
"120","need_to"
"121","not_the"
"122","trying_to"
"123","didn't_even"
"124","never_go"
"125","tried_to"
"126","not_worth"
"127","minutes_to"
"128","place_to"
"129","to_our"
"130","and_said"
"131","kind_of"
"132","you_want"
"133","but_this"
"134","good_but"
"135","they_don't"
"136","we_will"
"137","i_called"
"138","15_minutes"
"139","was_told"
"140","ended_up"
"141","it_wasn't"
"142","over_the"
"143","came_back"
"144","we_have"
"145","going_back"
"146","minutes_later"
"147","ask_for"
"148","asked_if"
"149","waiting_for"
"150","were_not"
"151","and_asked"
"152","but_they"
"153","had_no"
"154","my_friend"
"155","not_to"
"156","i_thought"
"157","told_me"
"158","was_no"
"159","the_rest"
"160","a_couple"
"161","i'm_not"
"162","and_no"
"163","to_find"
"164","i_told"
"165","like_the"
"166","the_whole"
"167","last_time"
"168","should_be"
"169","the_price"
"170","don't_know"
"171","the_owner"
"172","i_did"
"173","as_we"
"174","could_have"
"175","minutes_for"
"176","to_leave"
"177","we_didn't"
"178","came_to"
"179","the_counter"
"180","a_bad"
"181","but_we"
"182","on_top"
"183","one_star"
"184","was_cold"
"185","we_waited"
"186","30_minutes"
"187","they_didn't"
"188","instead_of"
"189","table_and"
"190","we_decided"
"191","with_no"
"192","i've_ever"
"193","i_said"
"194","our_server"
"195","i_guess"
"196","but_not"
"197","i_can't"
"198","the_hostess"
"199","lot_of"
"200","she_said"
"201","time_and"
"202","the_pizza"
"203","here_again"
"204","told_us"
"205","we_are"
"206","service_i"
"207","even_though"
"208","we_could"
"209","a_bit"
"210","like_they"
"211","their_food"
"212","of_food"
"213","a_new"
"214","my_friends"
"215","not_sure"
"216","we_left"
"217","he_said"
"218","rude_and"
"219","could_not"
"220","rest_of"
"221","walked_in"
"222","was_ok"
"223","the_wait"
"224","a_long"
"225","came_here"
"226","the_quality"
"227","them_to"
"228","time_to"
"229","came_in"
"230","my_wife"
"231","the_meal"
"232","time_we"
"233","your_money"
"234","cold_and"
"235","was_really"
"236","food_the"
"237","i_came"
"238","not_have"
"239","next_to"
"240","worth_the"
"241","a_place"
"242","able_to"
"243","at_best"
"244","know_what"
"245","not_recommend"
"246","of_them"
"247","our_waitress"
"248","very_disappointed"
"249","let_me"
"250","told_the"
"251","a_big"
"252","piece_of"
"253","recommend_this"
"254","we_wanted"
"255","come_here"
"256","last_night"
"257","are_not"
"258","because_we"
"259","due_to"
"260","so_many"
"261","the_meat"
"262","wait_for"
"263","we_would"
"264","asked_the"
"265","for_lunch"
"266","front_of"
"267","get_our"
"268","pay_for"
"269","top_of"
"270","was_terrible"
"271","after_we"
"272","and_left"
"273","in_front"
"274","they_said"
"275","a_manager"
"276","eat_here"
"277","like_this"
"278","not_good"
"279","way_to"
"280","a_small"
"281","be_returning"
"282","i_love"
"283","it_came"
"284","looked_like"
"285","the_phone"
"286","didn't_want"
"287","food_but"
"288","my_first"
"289","place_i"
"290","the_back"
"291","to_tell"
"292","coming_back"
"293","the_next"
"294","close_to"
"295","so_much"
"296","the_end"
"297","and_didn't"
"298","in_our"
"299","quality_of"
"300","supposed_to"
"301","this_time"
"302","said_it"
"303","the_fact"
"304","was_pretty"
"305","we_sat"
"306","a_drink"
"307","asked_to"
"308","chicken_was"
"309","drinks_and"
"310","the_street"
"311","to_bring"
"312","does_not"
"313","gave_me"
"314","give_it"
"315","our_drinks"
"316","for_dinner"
"317","i_tried"
"318","in_vegas"
"319","less_than"
"320","a_nice"
"321","i_really"
"322","i_should"
"323","make_it"
"324","the_entire"
"325","were_seated"
"326","a_great"
"327","have_never"
"328","said_they"
"329","my_family"
"330","the_wrong"
"331","to_check"
"332","was_horrible"
"333","were_told"
"334","5_minutes"
"335","bad_service"
"336","it_back"
"337","server_was"
"338","the_door"
"339","didn't_have"
"340","never_again"
"341","take_out"
"342","the_customer"
"343","the_guy"
"344","they_did"
"345","45_minutes"
"346","a_half"
"347","dry_and"
"348","eat_at"
"349","hour_and"
"350","like_i"
"351","long_time"
"352","not_only"
"353","side_of"
"354","too_much"
"355","have_no"
"356","place_has"
"357","this_review"
"358","try_to"
"359","i_mean"
"360","over_to"
"361","after_a"
"362","and_told"
"363","place_and"
"364","that_she"
"365","the_front"
"366","behind_the"
"367","definitely_not"
"368","fact_that"
"369","much_better"
"370","no_flavor"
"371","only_thing"
"372","that_he"
"373","told_her"
"374","took_a"
"375","waste_your"
"376","you_don't"
"377","chicken_and"
"378","not_go"
"379","say_that"
"380","bland_and"
"381","don't_have"
"382","enough_to"
"383","waitress_was"
"384","was_extremely"
"385","way_too"
"386","hard_to"
"387","over_priced"
"388","the_check"
"389","a_large"
"390","it_but"
"391","part_of"
"392","sat_down"
"393","seemed_to"
"394","she_didn't"
"395","there_again"
"396","waited_for"
"397","we_walked"
"398","came_with"
"399","don't_even"
"400","manager_and"
"401","minutes_and"
"402","said_that"
"403","what_we"
"404","i_understand"
"405","looking_for"
"406","needless_to"
"407","our_waiter"
"408","then_the"
"409","was_awful"
"410","was_great"
"411","don't_think"
"412","i_decided"
"413","i_felt"
"414","lack_of"
"415","las_vegas"
"416","make_a"
"417","menu_and"
"418","a_huge"
"419","across_the"
"420","away_from"
"421","food_to"
"422","i_saw"
"423","on_our"
"424","who_was"
"425","give_this"
"426","seem_to"
"427","the_side"
"428","this_point"
"429","gave_us"
"430","husband_and"
"431","know_how"
"432","like_to"
"433","next_time"
"434","night_and"
"435","time_the"
"436","times_and"
"437","we_came"
"438","after_i"
"439","come_to"
"440","couple_of"
"441","food_we"
"442","it's_not"
"443","my_meal"
"444","party_of"
"445","she_had"
"446","to_call"
"447","to_sit"
"448","was_bland"
"449","1_star"
"450","but_when"
"451","good_and"
"452","made_a"
"453","not_very"
"454","take_our"
"455","the_area"
"456","the_girl"
"457","we_did"
"458","i_found"
"459","is_no"
"460","now_i"
"461","over_and"
"462","the_bartender"
"463","the_rice"
"464","the_servers"
"465","we_finally"
"466","but_no"
"467","eat_it"
"468","walked_out"
"469","was_rude"
"470","a_server"
"471","could_give"
"472","group_of"
"473","he_had"
"474","my_boyfriend"
"475","the_cheese"
"476","the_drinks"
"477","to_put"
"478","again_i"
"479","better_than"
"480","everything_was"
"481","horrible_service"
"482","looked_at"
"483","so_bad"
"484","staff_was"
"485","stay_away"
"486","the_second"
"487","after_the"
"488","after_waiting"
"489","around_the"
"490","back_again"
"491","i_walked"
"492","my_life"
"493","needs_to"
"494","paid_for"
"495","pieces_of"
"496","pizza_and"
"497","pizza_was"
"498","sauce_and"
"499","somewhere_else"
"500","terrible_service"
"501","the_sushi"
"502","they_could"
"503","very_good"
"504","while_we"
"505","with_our"
"506","and_never"
"507","end_of"
"508","every_time"
"509","food_poisoning"
"510","i_ate"
"511","minutes_before"
"512","the_cashier"
"513","the_salad"
"514","then_i"
"515","was_dry"
"516","was_like"
"517","all_over"
"518","and_food"
"519","and_service"
"520","come_out"
"521","food_in"
"522","fries_were"
"523","give_them"
"524","over_cooked"
"525","the_lady"
"526","to_mention"
"527","we_arrived"
"528","worth_it"
"529","you_know"
"530","a_better"
"531","our_meal"
"532","to_start"
"533","was_still"
"534","and_our"
"535","before_we"
"536","came_over"
"537","experience_i"
"538","give_me"
"539","half_of"
"540","i_gave"
"541","i_left"
"542","i_want"
"543","money_and"
"544","thing_i"
"545","us_we"
"546","we_just"
"547","worst_service"
"548","again_and"
"549","amount_of"
"550","avoid_this"
"551","back_i"
"552","got_our"
"553","i_never"
"554","i_paid"
"555","is_good"
"556","it_tasted"
"557","people_who"
"558","proceeded_to"
"559","said_i"
"560","the_bread"
"561","too_many"
"562","took_the"
"563","waste_of"
"564","your_time"
"565","and_cheese"
"566","excited_to"
"567","for_them"
"568","i_wish"
"569","know_that"
"570","of_course"
"571","our_bill"
"572","the_drive"
"573","the_night"
"574","told_that"
"575","would_never"
"576","none_of"
"577","not_that"
"578","the_middle"
"579","the_past"
"580","took_our"
"581","don't_go"
"582","good_food"
"583","i_feel"
"584","in_line"
"585","talk_to"
"586","the_burger"
"587","the_point"
"588","back_here"
"589","but_that"
"590","friends_and"
"591","good_the"
"592","i_used"
"593","made_it"
"594","made_the"
"595","minutes_after"
"596","place_for"
"597","poor_service"
"598","several_times"
"599","she_would"
"600","took_my"
"601","wait_staff"
"602","went_back"
"603","wish_i"
"604","you_should"
"605","a_customer"
"606","and_after"
"607","but_if"
"608","didn't_get"
"609","like_that"
"610","manager_was"
"611","pick_up"
"612","place_a"
"613","said_no"
"614","say_i"
"615","take_the"
"616","the_fries"
"617","the_new"
"618","walked_away"
"619","am_not"
"620","don't_waste"
"621","friend_and"
"622","made_me"
"623","never_came"
"624","not_going"
"625","nothing_special"
"626","nothing_to"
"627","to_serve"
"628","was_nothing"
"629","was_okay"
"630","a_side"
"631","bar_and"
"632","drive_thru"
"633","felt_like"
"634","food_came"
"635","it_looked"
"636","never_been"
"637","never_had"
"638","second_time"
"639","since_i"
"640","tell_me"
"641","to_speak"
"642","to_use"
"643","try_it"
"644","a_second"
"645","bad_experience"
"646","cheese_and"
"647","experience_was"
"648","food_at"
"649","full_of"
"650","i_hate"
"651","i_took"
