"","x"
"1","we"
"2","but"
"3","our"
"4","she"
"5","he"
"6","after"
"7","minutes"
"8","came"
"9","good"
"10","said"
"11","then"
"12","asked"
"13","over"
"14","NOTwe"
"15","told"
"16","NOTfood"
"17","table"
"18","her"
"19","them"
"20","NOTbut"
"21","NOTnot"
"22","NOTback"
"23","took"
"24","bad"
"25","did"
"26","manager"
"27","who"
"28","know"
"29","server"
"30","waitress"
"31","NOTour"
"32","NOTplace"
"33","worst"
"34","another"
"35","ever"
"36","better"
"37","NOTagain"
"38","NOTgood"
"39","last"
"40","left"
"41","great"
"42","horrible"
"43","terrible"
"44","waited"
"45","wanted"
"46","much"
"47","cold"
"48","his"
"49","not"
"50","finally"
"51","hour"
"52","give"
"53","waiter"
"54","rude"
"55","long"
"56","customer"
"57","why"
"58","NOTno"
"59","NOTlike"
"60","NOTany"
"61","tasted"
"62","waiting"
"63","NOTtime"
"64","think"
"65","NOTservice"
"66","him"
"67","looked"
"68","disappointed"
"69","away"
"70","called"
"71","nice"
"72","walked"
"73","later"
"74","don't"
"75","NOTeat"
"76","same"
"77","decided"
"78","half"
"79","little"
"80","lunch"
"81","NOTthem"
"82","ask"
"83","pretty"
"84","money"
"85","bill"
"86","gave"
"87","fries"
"88","small"
"89","tables"
"90","sat"
"91","NOTshe"
"92","NOTcome"
"93","seated"
"94","thought"
"95","water"
"96","everything"
"97","best"
"98","brought"
"99","no"
"100","maybe"
"101","put"
"102","wrong"
"103","always"
"104","ok"
"105","arrived"
"106","NOTwant"
"107","NOThe"
"108","tell"
"109","however"
"110","almost"
"111","someone"
"112","review"
"113","dry"
"114","NOTever"
"115","side"
"116","actually"
"117","bland"
"118","business"
"119","NOTgive"
"120","least"
"121","star"
"122","NOTmake"
"123","else"
"124","pay"
"125","instead"
"126","every"
"127","let"
"128","customers"
"129","poor"
"130","though"
"131","NOTher"
"132","price"
"133","point"
"134","awful"
"135","person"
"136","hard"
"137","reviews"
"138","guy"
"139","owner"
"140","kitchen"
"141","slow"
"142","party"
"143","seemed"
"144","fried"
"145","NOTworth"
"146","empty"
"147","definitely"
"148","call"
"149","NOTafter"
"150","front"
"151","NOTtable"
"152","NOTtaste"
"153","didn't"
"154","today"
"155","probably"
"156","NOTbad"
"157","NOTtake"
"158","getting"
"159","orders"
"160","saw"
"161","hostess"
"162","paid"
"163","NOTmuch"
"164","lot"
"165","second"
"166","done"
"167","hours"
"168","sitting"
"169","vegas"
"170","NOTcame"
"171","NOTdid"
"172","extremely"
"173","NOTanything"
"174","completely"
"175","sorry"
"176","door"
"177","guess"
"178","love"
"179","felt"
"180","NOTreally"
"181","NOTrecommend"
"182","beer"
"183","leave"
"184","NOTmoney"
"185","NOTway"
"186","dirty"
"187","NOTbetter"
"188","care"
"189","okay"
"190","phone"
"191","NOTasked"
"192","NOTover"
"193","received"
"194","absolutely"
"195","already"
"196","NOTthen"
"197","literally"
"198","buffet"
"199","girl"
"200","fine"
"201","ended"
"202","lady"
"203","bartender"
"204","until"
"205","breakfast"
"206","disappointing"
"207","NOTcustomer"
"208","NOTsaid"
"209","NOTnever"
"210","large"
"211","NOTdidn't"
"212","bit"
"213","worse"
"214","NOTreturn"
"215","NOTminutes"
"216","part"
"217","counter"
"218","mediocre"
"219","NOTthink"
"220","drive"
"221","less"
"222","NOTsee"
"223","mins"
"224","NOTgreat"
"225","reason"
"226","NOTexperience"
"227","says"
"228","tip"
"229","NOTcould"
"230","NOTflavor"
"231","management"
"232","ago"
"233","high"
"234","delivery"
"235","kind"
"236","charge"
"237","NOTeither"
"238","NOTright"
"239","NOTdon't"
"240","employees"
"241","decent"
"242","behind"
"243","problem"
"244","quite"
"245","overpriced"
"246","NOTmeal"
"247","NOTcustomers"
"248","NOTwait"
"249","seriously"
"250","pork"
"251","card"
"252","please"
"253","NOTbusy"
"254","NOTmade"
"255","NOTask"
"256","min"
"257","given"
"258","sweet"
"259","NOTwho"
"260","piece"
"261","NOTenough"
"262","pieces"
"263","expensive"
"264","must"
"265","flavor"
"266","stay"
"267","NOTcoming"
"268","NOTanother"
"269","super"
"270","attitude"
"271","NOTuntil"
"272","store"
"273","happy"
"274","unfortunately"
"275","closed"
"276","overall"
"277","NOTdrink"
"278","noticed"
"279","NOTknow"
"280","charged"
"281","gone"
"282","working"
"283","sad"
"284","stars"
"285","frozen"
"286","NOTfresh"
"287","entire"
"288","average"
"289","NOThis"
"290","NOTelse"
"291","past"
"292","tonight"
"293","saying"
"294","cook"
"295","reservation"
"296","under"
"297","NOTleft"
"298","the"
"299","friendly"
"300","NOTsomething"
"301","ready"
"302","taking"
"303","fresh"
"304","kept"
"305","might"
"306","NOTsauce"
"307","soggy"
"308","fast"
"309","understand"
"310","total"
"311","NOTchicken"
"312","greasy"
