"","x"
"1","minutes"
"2","she"
"3","then"
"4","said"
"5","asked"
"6","NOTback"
"7","NOTnot"
"8","told"
"9","bad"
"10","took"
"11","NOTwe"
"12","worst"
"13","NOTagain"
"14","manager"
"15","her"
"16","left"
"17","NOTour"
"18","waitress"
"19","horrible"
"20","great"
"21","terrible"
"22","waited"
"23","rude"
"24","cold"
"25","disappointed"
"26","finally"
"27","why"
"28","NOTservice"
"29","customer"
"30","NOTno"
"31","looked"
"32","waiting"
"33","money"
"34","called"
"35","later"
"36","walked"
"37","pretty"
"38","NOTcome"
"39","best"
"40","him"
"41","wrong"
"42","maybe"
"43","ok"
"44","however"
"45","bill"
"46","NOTever"
"47","NOTgive"
"48","arrived"
"49","someone"
"50","instead"
"51","bland"
"52","dry"
"53","NOTshe"
"54","poor"
"55","awful"
"56","pay"
"57","customers"
"58","NOTworth"
"59","slow"
"60","NOThe"
"61","seemed"
"62","NOTafter"
"63","definitely"
"64","NOTtaste"
"65","NOTtake"
"66","NOTbad"
"67","empty"
"68","paid"
"69","NOTtable"
"70","NOTher"
"71","NOTrecommend"
"72","NOTdid"
"73","sitting"
"74","NOTcame"
"75","sorry"
"76","completely"
"77","guess"
"78","NOTmoney"
"79","love"
"80","NOTbetter"
"81","leave"
"82","NOTasked"
"83","received"
"84","okay"
"85","literally"
"86","disappointing"
"87","disgusting"
"88","NOTreturn"
"89","NOTthen"
"90","hostess"
"91","dirty"
"92","NOTthink"
"93","mediocre"
"94","NOTnever"
"95","NOTcustomer"
"96","worse"
"97","NOTdidn't"
"98","fine"
"99","NOTcould"
"100","NOTminutes"
"101","NOTsee"
"102","NOTeither"
"103","bit"
"104","phone"
"105","NOTsaid"
"106","decent"
"107","overpriced"
"108","management"
"109","NOTflavor"
"110","NOTcustomers"
"111","girl"
"112","NOTbusy"
"113","problem"
"114","lady"
"115","NOTwait"
"116","NOTcoming"
"117","employees"
"118","charge"
"119","overall"
"120","NOTuntil"
"121","NOTwho"
"122","NOTbusiness"
"123","unfortunately"
"124","NOTanother"
"125","says"
"126","NOTknow"
"127","gone"
"128","gross"
"129","noticed"
"130","sad"
"131","NOTfresh"
"132","saying"
"133","NOTdrink"
"134","NOTleft"
"135","attitude"
"136","stars"
"137","friendly"
"138","charged"
"139","NOTanyone"
"140","mins"
"141","average"
"142","NOTmanager"
"143","understand"
"144","tonight"
"145","tasteless"
"146","closed"
"147","soggy"
"148","frozen"
"149","NOThis"
"150","total"
"151","NOTtold"
"152","avoid"
"153","min"
"154","NOTwaste"
"155","greasy"
"156","fresh"
"157","NOTdrinks"
"158","NOTshould"
"159","forgot"
"160","happened"
"161","nothing"
"162","card"
"163","NOTstaff"
"164","barely"
"165","turned"
"166","disappointment"
"167","excited"
"168","NOTlocation"
"169","ridiculous"
"170","clearly"
"171","waste"
"172","NOTput"
"173","NOTwanted"
"174","mistake"
"175","NOTwater"
"176","obviously"
"177","asking"
"178","NOTpay"
"179","save"
"180","NOTserver"
"181","sent"
"182","salty"
"183","apparently"
"184","NOTcheck"
"185","NOTprice"
"186","leaving"
"187","recommend"
"188","cashier"
"189","NOTspecial"
"190","showed"
"191","NOTreturning"
"192","supposed"
"193","NOTsame"
"194","forever"
"195","placed"
"196","paying"
"197","speak"
"198","talking"
"199","somewhere"
"200","NOTleave"
"201","sick"
"202","NOTcare"
"203","burnt"
"204","NOTwhy"
"205","NOThim"
"206","needless"
"207","NOTseem"
"208","NOTstar"
"209","NOTtook"
"210","spent"
"211","NOTnothing"
"212","nasty"
"213","worth"
"214","hate"
"215","amazing"
"216","sucks"
"217","overcooked"
"218","delicious"
"219","NOTbill"
"220","NOTworst"
"221","NOTcooked"
"222","NOTunderstand"
"223","NOTbelieve"
"224","employee"
"225","NOTbother"
"226","NOTcold"
"227","mess"
"228","shame"
"229","joke"
"230","elsewhere"
"231","NOTnow"
"232","NOTwasn't"
"233","NOThalf"
"234","NOTserve"
"235","NOTwaitress"
"236","hair"
"237","ignored"
"238","NOTserved"
"239","NOTmention"
"240","woman"
"241","credit"
"242","bag"
"243","expected"
"244","NOTcall"
"245","thru"
"246","dollars"
"247","NOTtables"
"248","OK"
"249","upset"
"250","NOTrude"
"251","NOTtip"
"252","weird"
"253","issue"
"254","NOTanymore"
"255","NOTidea"
"256","NOToffer"
"257","proceeded"
"258","NOThour"
"259","zero"
"260","informed"
"261","NOTdone"
"262","threw"
"263","NOTwaiting"
"264","hell"
"265","standing"
"266","thank"
"267","refused"
"268","stomach"
"269","flavorless"
"270","NOThorrible"
"271","NOTtell"
"272","tough"
"273","spot"
"274","sub"
"275","spoke"
"276","NOTtasted"
"277","turn"
"278","stale"
"279","complained"
"280","poisoning"
"281","arrive"
"282","NOTbring"
"283","clear"
"284","NOTimpressed"
"285","ran"
"286","refund"
"287","bought"
"288","NOTnor"
"289","favorite"
"290","returned"
"291","telling"
"292","par"
"293","selection"
"294","hands"
"295","realized"
"296","situation"
"297","tasty"
"298","nearly"
"299","NOTsomeone"
"300","enjoyed"
"301","NOTfront"
"302","below"
"303","NOTkitchen"
"304","crap"
"305","figured"
"306","NOTreviews"
"307","register"
"308","NOTwalked"
"309","wonder"
"310","awesome"
"311","stood"
"312","NOTreceived"
"313","NOTcharge"
"314","NOTorders"
"315","sadly"
"316","watched"
"317","NOTapology"
"318","NOTbrought"
"319","ten"
"320","NOTwaiter"
"321","rating"
